image_name,angry,disgust,fear,happy,sad,surprise,neutral,sum,positive,negative,outcome
frame_E_7179.jpg,0.15,0.0,0.04,0.47,0.1,0.2,0.02,0.98,0.6699999999999999,0.29000000000000004,PS
frame_E_7180.jpg,0.44,0.0,0.09,0.0,0.04,0.29,0.14,1.0,0.29,0.5700000000000001,PS
frame_E_7182.jpg,0.32,0.0,0.08,0.01,0.02,0.44,0.13,1.0,0.45,0.42000000000000004,PS
frame_E_7194.jpg,0.56,0.0,0.07,0.0,0.37,0.0,0.0,1.0,0.0,1.0,NG
frame_E_7205.jpg,0.26,0.0,0.06,0.0,0.06,0.01,0.62,1.01,0.01,0.38,NT
frame_E_7223.jpg,0.39,0.02,0.11,0.16,0.16,0.0,0.17,1.01,0.16,0.68,NG
frame_E_7229.jpg,0.15,0.01,0.16,0.01,0.63,0.01,0.04,1.01,0.02,0.95,NG
frame_E_7235.jpg,0.3,0.03,0.26,0.01,0.18,0.04,0.19,1.01,0.05,0.77,NG
frame_E_7248.jpg,0.23,0.01,0.13,0.0,0.3,0.0,0.33,1.0,0.0,0.6699999999999999,NG
frame_E_7278.jpg,0.12,0.0,0.1,0.09,0.03,0.55,0.12,1.01,0.64,0.25,PS
frame_E_7311.jpg,0.09,0.0,0.02,0.02,0.16,0.01,0.7,1.0,0.03,0.27,NT
frame_E_7313.jpg,0.08,0.0,0.13,0.1,0.32,0.16,0.21,1.0000000000000002,0.26,0.53,PS
frame_E_7326.jpg,0.07,0.0,0.1,0.27,0.02,0.48,0.07,1.01,0.75,0.19,PS
frame_E_7332.jpg,0.11,0.0,0.11,0.0,0.21,0.36,0.21,1.0,0.36,0.43,PS
frame_E_7340.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_7353.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_7365.jpg,0.54,0.02,0.18,0.04,0.15,0.06,0.01,1.0,0.1,0.89,NG
frame_E_7427.jpg,0.44,0.0,0.2,0.01,0.06,0.05,0.25,1.01,0.060000000000000005,0.7,NG
frame_E_7436.jpg,0.1,0.0,0.01,0.26,0.16,0.0,0.47,1.0,0.26,0.27,PS
frame_E_7499.jpg,0.16,0.0,0.19,0.01,0.18,0.01,0.45,1.0,0.02,0.53,NT
frame_E_7504.jpg,0.1,0.0,0.06,0.0,0.17,0.0,0.66,0.99,0.0,0.33,NT
frame_E_7534.jpg,0.04,0.0,0.02,0.02,0.05,0.0,0.87,1.0,0.02,0.11,NT
frame_E_7541.jpg,0.09,0.01,0.06,0.01,0.1,0.01,0.73,1.01,0.02,0.26,NT
frame_E_7561.jpg,0.07,0.0,0.23,0.0,0.27,0.0,0.43,1.0,0.0,0.5700000000000001,NT
frame_E_7578.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_7673.jpg,0.01,0.0,0.01,0.09,0.08,0.01,0.8,1.0,0.09999999999999999,0.1,NT
